Year	Industry	Status of innovation activity	Information	Innovation activity of enterprises by industry
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Goods innovations, number of enterprises (no.)	2063
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Service innovations, number of enterprises (no.)	2347
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Only goods innovations, no service innovations, number of enterprises (no.)	1058
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Only service innovations, no goods innovations, number of enterprises (no.)	1342
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Both goods and service innovations, number of enterprises (no.)	1005
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new to market, number of enterprises (no.)	1995
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new to enterprise, number of enterprises (no.)	2940
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new only to market, not to enterprise, number of enterprises (no.)	465
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new only to enterprise, not to market, number of enterprises (no.)	1410
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new both to market and to enterprise, number of enterprises (no.)	1530
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed by enterprise, number of enterprises (no.)	2651
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed together with others, number of enterprises (no.)	1494
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Enterprise modified products developed by others, number of enterprises (no.)	490
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed by others, number of enterprises (no.)	282
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations, number of enterprises (no.)	4502
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; production or development methods, number of enterprises (no.)	2416
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	1130
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; ICT or information processing, number of enterprises (no.)	2252
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, number of enterprises (no.)	1723
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; business practices or external relations, number of enterprises (no.)	1138
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	2047
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; marketing methods, number of enterprises (no.)	1684
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed by enterprise, number of enterprises (no.)	3191
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed together with others, number of enterprises (no.)	2083
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Enterprise modified processes developed by others, number of enterprises (no.)	585
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed by others, number of enterprises (no.)	489
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovations, number of enterprises (no.)	5293
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovation activities, number of enterprises (no.)	2603
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Ongoing innovation activities, number of enterprises (no.)	2325
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Abandoned innovation activities, number of enterprises (no.)	1213
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Completed innovation activitiess, number of enterprises (no.)	982
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovation activity, number of enterprises (no.)	6053
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	In-house research and development (R&D), number of enterprises (no.)	4101
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Continuous in-house R&D, number of enterprises (no.)	2163
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Occasional in-house R&D, number of enterprises (no.)	1938
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Contract-out R&D, number of enterprises (no.)	2653
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	In-house or contracted-out R&D, number of enterprises (no.)	4385
2022	B-C-D-E Total industry	Total number of enterprises	Number of enterprises (no.)	4028
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	36.5
2022	B-C-D-E Total industry	Total number of enterprises	Goods innovations, share of enterprises (%)	32.1
2022	B-C-D-E Total industry	Total number of enterprises	Service innovations, share of enterprises (%)	17.9
2022	B-C-D-E Total industry	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	18.6
2022	B-C-D-E Total industry	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	4.4
2022	B-C-D-E Total industry	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	13.5
2022	B-C-D-E Total industry	Total number of enterprises	Products new to market, share of enterprises (%)	22.4
2022	B-C-D-E Total industry	Total number of enterprises	Products new to enterprise, share of enterprises (%)	31.9
2022	B-C-D-E Total industry	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	4.6
2022	B-C-D-E Total industry	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	14.0
2022	B-C-D-E Total industry	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	17.8
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	30.0
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	17.1
2022	B-C-D-E Total industry	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	4.0
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	2.1
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations, share of enterprises (%)	49.3
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	31.8
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	10.8
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	22.9
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	17.3
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	10.4
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	20.6
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	17.6
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	34.6
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	24.9
2022	B-C-D-E Total industry	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	5.6
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	5.2
2022	B-C-D-E Total industry	Total number of enterprises	Innovations, share of enterprises (%)	58.3
2022	B-C-D-E Total industry	Total number of enterprises	Innovation activities, share of enterprises (%)	31.8
2022	B-C-D-E Total industry	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	28.9
2022	B-C-D-E Total industry	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	16.0
2022	B-C-D-E Total industry	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	12.7
2022	B-C-D-E Total industry	Total number of enterprises	Innovation activity, share of enterprises (%)	67.6
2022	B-C-D-E Total industry	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	48.7
2022	B-C-D-E Total industry	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	25.4
2022	B-C-D-E Total industry	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	23.3
2022	B-C-D-E Total industry	Total number of enterprises	Contract-out R&D, share of enterprises (%)	31.9
2022	B-C-D-E Total industry	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	50.8
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	1470
2022	B-C-D-E Total industry	Total number of enterprises	Goods innovations, number of enterprises (no.)	1293
2022	B-C-D-E Total industry	Total number of enterprises	Service innovations, number of enterprises (no.)	721
2022	B-C-D-E Total industry	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	749
2022	B-C-D-E Total industry	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	177
2022	B-C-D-E Total industry	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	544
2022	B-C-D-E Total industry	Total number of enterprises	Products new to market, number of enterprises (no.)	904
2022	B-C-D-E Total industry	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	1285
2022	B-C-D-E Total industry	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	185
2022	B-C-D-E Total industry	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	566
2022	B-C-D-E Total industry	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	719
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	1210
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	690
2022	B-C-D-E Total industry	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	160
2022	B-C-D-E Total industry	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	84
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations, number of enterprises (no.)	1986
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	1281
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	435
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	923
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	697
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	419
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	830
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	708
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	1395
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed together with others, number of enterprises (no.)	1002
2022	B-C-D-E Total industry	Total number of enterprises	Enterprise modified processes developed by others, number of enterprises (no.)	227
2022	B-C-D-E Total industry	Total number of enterprises	Process innovations developed by others, number of enterprises (no.)	208
2022	B-C-D-E Total industry	Total number of enterprises	Innovations, number of enterprises (no.)	2348
2022	B-C-D-E Total industry	Total number of enterprises	Innovation activities, number of enterprises (no.)	1283
