"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Innovation activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668770","1.1.1.7","19.9","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668770","1.1.1.7","25.3","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668770","1.1.1.7","19.9","B","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995286","1.1.1.13","10.7","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995286","1.1.1.13","8.6","B","","","1"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668771","1.1.1.8","12.2","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668771","1.1.1.8","6.4","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668771","1.1.1.8","5.5","B","","","1"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457419","1.1.1.9","60.4","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457419","1.1.1.9","52.5","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457419","1.1.1.9","47.2","B","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668796","1.2.1.1","24.1","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668796","1.2.1.1","18.9","B","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668796","1.2.1.1","32.0","C","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995299","1.2.1.10","12.4","B","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995299","1.2.1.10","11.8","C","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995300","1.2.1.11","4.4","A","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995300","1.2.1.11","12.3","C","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995301","1.2.1.12","6.5","A","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995301","1.2.1.12","24.8","C","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668797","1.2.1.2","42.2","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668797","1.2.1.2","34.9","B","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668797","1.2.1.2","23.7","C","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668799","1.2.1.4","26.6","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668799","1.2.1.4","22.4","B","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668799","1.2.1.4","21.2","C","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668802","1.2.1.7","14.5","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668802","1.2.1.7","8.8","A","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668802","1.2.1.7","13.0","C","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995302","1.2.1.13","4.0","A","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995302","1.2.1.13","4.5","B","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668803","1.2.1.8","10.5","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668803","1.2.1.8","3.5","A","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668803","1.2.1.8","2.8","B","","","1"
"2017","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457423","1.2.1.9","55.4","B","","","1"
"2019","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457423","1.2.1.9","49.3","B","","","1"
"2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457423","1.2.1.9","47.0","C","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668828","1.3.1.1","22.2","A","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668828","1.3.1.1","20.0","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668828","1.3.1.1","24.2","C","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995315","1.3.1.10","24.8","B","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995315","1.3.1.10","20.5","C","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995316","1.3.1.11","9.1","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995316","1.3.1.11","13.8","C","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995317","1.3.1.12","16.5","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995317","1.3.1.12","22.6","C","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668829","1.3.1.2","24.5","A","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668829","1.3.1.2","21.4","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668829","1.3.1.2","15.6","C","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668831","1.3.1.4","21.1","A","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668831","1.3.1.4","20.5","B","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668831","1.3.1.4","21.2","C","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668834","1.3.1.7","14.7","A","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668834","1.3.1.7","13.5","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668834","1.3.1.7","9.0","C","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995318","1.3.1.13","8.9","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995318","1.3.1.13","8.9","C","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668835","1.3.1.8","11.3","A","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668835","1.3.1.8","8.5","A","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668835","1.3.1.8","5.3","B","","","1"
"2017","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457427","1.3.1.9","52.8","B","","","1"
"2019","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457427","1.3.1.9","44.7","B","","","1"
"2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457427","1.3.1.9","44.7","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668956","1.7.1.1","35.7","B","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668956","1.7.1.1","24.5","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668956","1.7.1.1","34.8","C","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995379","1.7.1.10","33.6","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995379","1.7.1.10","34.6","C","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995380","1.7.1.11","9.3","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995380","1.7.1.11","22.9","C","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995381","1.7.1.12","26.1","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995381","1.7.1.12","30.4","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668957","1.7.1.2","32.1","B","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668957","1.7.1.2","21.7","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668957","1.7.1.2","21.7","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668959","1.7.1.4","32.6","B","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668959","1.7.1.4","23.5","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668959","1.7.1.4","21.5","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668962","1.7.1.7","20.4","B","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668962","1.7.1.7","16.3","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668962","1.7.1.7","17.4","C","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995382","1.7.1.13","16.2","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995382","1.7.1.13","7.0","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668963","1.7.1.8","18.8","A","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668963","1.7.1.8","13.4","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668963","1.7.1.8","7.6","C","","","1"
"2017","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457443","1.7.1.9","67.0","B","","","1"
"2019","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457443","1.7.1.9","49.0","A","","","1"
"2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457443","1.7.1.9","58.3","C","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668988","1.8.1.1","10.2","B","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668988","1.8.1.1","4.4","A","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668988","1.8.1.1","5.7","A","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995395","1.8.1.10","14.9","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995395","1.8.1.10","12.9","B","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995396","1.8.1.11","4.3","A","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995396","1.8.1.11","3.6","A","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995397","1.8.1.12","14.2","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995397","1.8.1.12","13.4","B","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668989","1.8.1.2","26.8","B","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668989","1.8.1.2","20.6","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668989","1.8.1.2","18.2","B","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668991","1.8.1.4","26.4","B","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668991","1.8.1.4","27.3","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668991","1.8.1.4","16.7","B","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668994","1.8.1.7","5.4","A","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668994","1.8.1.7","16.7","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047668994","1.8.1.7","6.9","A","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995398","1.8.1.13","7.8","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995398","1.8.1.13","6.2","A","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668995","1.8.1.8","5.9","A","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668995","1.8.1.8","4.3","A","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Other innovation activities","Percent","239","units","0","v1047668995","1.8.1.8","2.7","A","","","1"
"2017","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457447","1.8.1.9","48.5","B","","","1"
"2019","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457447","1.8.1.9","46.2","B","","","1"
"2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Any innovation activity conducted","Percent","239","units","0","v1064457447","1.8.1.9","35.9","B","","","1"
"2017","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047669020","1.9.1.1","48.2","A","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047669020","1.9.1.1","47.2","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047669020","1.9.1.1","42.7","A","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995411","1.9.1.10","40.9","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995411","1.9.1.10","33.6","B","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995412","1.9.1.11","16.7","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995412","1.9.1.11","23.1","B","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995413","1.9.1.12","22.8","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995413","1.9.1.12","31.2","A","","","1"
"2017","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047669021","1.9.1.2","43.7","A","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047669021","1.9.1.2","35.4","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047669021","1.9.1.2","32.8","B","","","1"
"2017","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047669023","1.9.1.4","34.6","A","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047669023","1.9.1.4","33.1","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047669023","1.9.1.4","26.5","B","","","1"
"2017","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047669026","1.9.1.7","24.9","A","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047669026","1.9.1.7","26.2","A","","","1"
"2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Marketing and brand equity  activities linked to the introduction of new goods, services or business processes","Percent","239","units","0","v1047669026","1.9.1.7","21.9","B","","","1"
"2019","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovation management","Percent","239","units","0","v1277995414","1.9.1.13","10.8","A","","","1"
