Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	8.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	4.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	5.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	1.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	9.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	4.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	15.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	11.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	12.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	11.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	12.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	15.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	8.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	1.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	19.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	4.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	28.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	8.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	10.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	4.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	10.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	4.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	21.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	5.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	25.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	6.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	17.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	5.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	3.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	1.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	9.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	3.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	6.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	3.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	12.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	9.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	18.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	13.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	10.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	8.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	10.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	7.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	5.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	2.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	12.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	6.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	16.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	12.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	9.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	8.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	11.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	14.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	3.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	1.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	3.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	10.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	9.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	8.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	13.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	17.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	27.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	2.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	2.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	6.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	8.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Number of enterprises (no.)	6053
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	19.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	6.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	21.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	9.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	17.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	6.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	6.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	2.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	6.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	4.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	13.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	4.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	28.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	9.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	19.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	5.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	7.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	3.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	5.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	2.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	19.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	8.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	17.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	13.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	14.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	10.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	3.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	3.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	7.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	2.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	13.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	6.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	17.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	12.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	12.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	11.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	7.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	10.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	10.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	1.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	24.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	6.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	28.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	8.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	9.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	2.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	4.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	4.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	26.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	8.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	29.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	8.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	12.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	3.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	4.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	0.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	3.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	3.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	7.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	4.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	14.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	13.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	17.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	14.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	8.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	5.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	7.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	8.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	4.2
